media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"659725","https://www.capegazette.com/"," Cape Gazette, Lewes Delaware","USA","US-DE","en","United States","print_native","","","0.0","2017-12-04"
"94556","http://capegazette.villagesoup.com/#spider","capegazette.villagesoup.com","USA","US-DE","en","","print_native","","","0.0","2019-08-26"
"453687","http://coastalpoint.com/","coastalpoint.com","USA","US-DE","en","United States","print_native","","","0.03","2017-11-13"
"659719","http://www.delawarebusinessblog.com/","Delaware Business Blog","USA","US-DE","en","","digital_native","","","0.0","2016-05-09"
"659720","http://delawarefreenews.org/","Delaware Free News","USA","US-DE","en","United States","digital_native","","","0.0","2017-11-27"
"312220","http://delaware.statenews.net/","delaware.statenews.net","USA","US-DE","en","United States","digital_native","","","25.13","2018-02-05"
"625606","http://delawarebusinessnow.com/","delawarebusinessnow.com","USA","US-DE","en","United States","digital_native","","","6.24","2017-12-04"
"20465","http://www.delawareonline.com","delawareonline.com","USA","US-DE","en","United States","print_native","","","29.16","2017-12-04"
"204608","http://delawaretoday.com/","delawaretoday.com","USA","US-DE","en","","print_native","","","0.06","2012-06-11"
"649919","https://www.delmarvanow.com/","DelmarvaNow.com ","USA","US-DE","en","United States","print_native","","","0.0","2019-04-29"
"655161","http://thedialog.org/","Dialog - United States","USA","US-DE","en","United States","print_native","","","5.61","2017-12-04"
"1599","http://www.doverpost.com","dover post","USA","US-DE","en","United States","print_native","","","40.84","2012-11-05"
"659727","http://www.eltiempohispano.com/","El Tiempo Hispano","USA","US-DE","es","","print_native","","","0.01","2017-10-02"
"348142","http://hockessincommunitynews.com/","hockessincommunitynews.com","USA","US-DE","en","United States","print_native","","","38.29","2017-12-04"
"659721","http://www.hoyendelaware.com/","Hoy en Delaware","USA","US-DE","es","United States","print_native","","","1.79","2017-12-04"
"489844","http://middletowntranscript.com/","middletowntranscript.com","USA","US-DE","en","United States","print_native","","","38.81","2017-12-04"
"659726","http://www.milfordbeacon.com/","Milford Beacon","USA","US-DE","en","United States","print_native","","","40.86","2017-04-24"
"20178","http://www.newarkpostonline.com","newarkpostonline.com","USA","US-DE","en","","print_native","","","0.01","2011-10-03"
"659264","http://outandaboutnow.com/","Out and About - United States - Delaware","USA","US-DE","en","United States","print_native","","","0.52","2017-11-27"
"371176","http://scsuntimes.com/","scsuntimes.com","USA","US-DE","en","United States","print_native","","","39.86","2017-12-04"
"349515","http://sussexcountian.com/","sussexcountian.com","USA","US-DE","en","United States","print_native","","","41.41","2017-12-04"
"343509","http://udreview.com/","udreview.com","USA","US-DE","en","United States","print_native","","","2.36","2018-04-30"
"20477","http://www.wdel.com","wdel.com","USA","US-DE","en","United States","video_broadcast","","","0.46","2015-03-02"
"1610","http://www.wdov.com/main.html","WDOV","USA","US-DE","en","United States","video_broadcast","","","0.0","2015-09-14"
"20638","http://www.wgmd.com","wgmd.com","USA","US-DE","en","United States","video_broadcast","","","42.34","2017-12-04"
"82303","http://whyy.org/#spider","whyy.org","USA","US-DE","en","United States","video_broadcast","","","18.88","2017-07-10"
"659730","http://www.wilm.com/main.html","WILM - United States - Delaware","USA","US-DE","en","","video_broadcast","","","0.0","2017-12-04"
"659722","http://the-wire.org/","Wire - United States - Delaware","USA","US-DE","en","United States","print_native","","","0.0","2017-10-23"
"659728","http://www.wrdetv.com/","WRDE","USA","US-DE","en","","video_broadcast","","","0.0","2017-12-04"
